"sparse weighted graph embedding,"
605,-2.7662141,-0.7160716
606,-2.7600906,-0.6937972
607,-2.8300788,-0.7303768
608,-2.768623,-0.7180182
609,-2.727636,-0.70632344
610,-2.7195032,-0.7011737
611,-2.758655,-0.6909798
612,-2.75933,-0.6883697
613,-2.7001235,-0.7030344
614,-2.716822,-0.69301647
615,-2.711859,-0.70115155
616,-2.774193,-0.7061397
617,-2.8462963,-0.7094321
618,-2.8579383,-0.7321768
619,-2.8560696,-0.73709404
620,-2.825057,-0.7086884
621,-2.7788296,-0.71653974
622,-2.7958932,-0.720284
623,-2.7842991,-0.691832
624,-2.9005911,-0.73820895
625,-2.8706844,-0.72293633
626,-2.802581,-0.7154854
627,-2.8019664,-0.7007123
628,-2.7950404,-0.7132773
629,-2.7865407,-0.7168654
630,-2.8631346,-0.7227086
631,-2.8639207,-0.7307111
632,-2.9208226,-0.73369414
633,-2.9213052,-0.73095053
634,-2.9238913,-0.74286747
635,-2.847196,-0.7243813
636,-2.8753738,-0.7410419
637,-3.057892,-0.7480694
638,-3.0527625,-0.74847823
639,-3.0719948,-0.7467206
640,-3.09168,-0.7526663
641,-3.0700758,-0.757202
642,-3.0808349,-0.74718904
643,-3.143208,-0.7671874
644,-3.0657666,-0.76373404
645,-3.0889962,-0.77287614
646,-3.1945157,-0.79340273
647,-3.139154,-0.76792675
648,-3.0372455,-0.7708688
649,-3.055844,-0.760857
650,-3.121875,-0.77450895
651,-3.1677618,-0.7844776
652,-3.150756,-0.77787524
653,-3.16049,-0.7891068
654,-3.1787536,-0.79265934
655,-3.1805222,-0.78173906
656,-3.1613405,-0.7850937
657,-3.2622569,-0.8081582
658,-3.2697496,-0.8078991
659,-3.130824,-0.78837705
660,-3.0764754,-0.76696163
661,-2.9721243,-0.74612755
662,-2.9860463,-0.7592281
663,-2.9420676,-0.737409
664,-2.9631355,-0.75171083
665,-2.9601202,-0.7434265
666,-3.0205176,-0.7559422
667,-3.0829651,-0.7817561
668,-3.0901864,-0.76646614
669,-3.0273092,-0.7696761
670,-2.9772217,-0.753085
671,-2.98077,-0.76189715
672,-2.9406364,-0.7443391
673,-2.9432008,-0.74698246
674,-2.9483557,-0.7602514
675,-2.9616127,-0.7583961
676,-2.9528897,-0.7578021
677,-2.9403534,-0.7598418
678,-2.9397194,-0.7547745
679,-2.896228,-0.7445692
680,-2.882871,-0.7216864
681,-2.87968,-0.7379973
682,-2.9213495,-0.75401723
683,-2.932867,-0.7515554
684,-2.8946378,-0.740399
685,-2.9033263,-0.7566276
686,-2.9259293,-0.74817044
687,-2.9621332,-0.73933166
688,-2.9596395,-0.7510393
689,-3.02567,-0.7628357
690,-3.0268905,-0.75802696
691,-2.9598503,-0.7529147
692,-3.016208,-0.7707044
693,-3.0182807,-0.7622939
694,-2.987946,-0.7648422
695,-2.990348,-0.7458706
696,-2.9865878,-0.75317985
697,-3.006342,-0.75229573
698,-3.1031318,-0.774482
699,-3.1056857,-0.78362024
700,-3.2244565,-0.7938103
701,-3.2982352,-0.80085444
702,-3.3066647,-0.8167547
703,-3.2163358,-0.7948273
704,-3.1838863,-0.80850786
705,-3.2045813,-0.8129275
706,-3.338556,-0.8206334
707,-3.3253107,-0.8154958
708,-3.3407314,-0.8180692
709,-3.4791276,-0.8712897
710,-3.4350307,-0.8666741
711,-3.4523985,-0.8561448
712,-3.4201343,-0.84394836
713,-3.4904082,-0.8653431
714,-3.6090353,-0.89437956
715,-3.6294727,-0.87614715
716,-3.6360955,-0.8958037
717,-3.4811668,-0.8702344
718,-3.4862878,-0.86095333
719,-3.6043715,-0.88725275
720,-3.6043084,-0.88760304
721,-3.7225342,-0.91750866
722,-3.718162,-0.91125065
723,-3.7989464,-0.92630535
724,-3.8131833,-0.9436389
725,-4.1279974,-1.0361655
726,-4.5261765,-1.1344599
727,-4.539485,-1.1460088
728,-4.5726304,-1.1433787
729,-4.6187844,-1.1579411
730,-4.6020885,-1.1487412
731,-4.6414394,-1.173939
732,-4.6604447,-1.1711617
733,-4.678172,-1.1857638
734,-4.6976995,-1.183005
735,-4.67933,-1.173055
736,-4.7295322,-1.1891404
737,-4.742173,-1.2046456
738,-4.2236605,-1.0597672
739,-4.7100616,-1.18181
740,-4.734151,-1.188238
741,-4.744346,-1.1928698
742,-4.7760897,-1.2157211
743,-4.781812,-1.2032813
744,-4.7474895,-1.1947935
745,-4.760584,-1.1928507
746,-4.4005904,-1.0876927
747,-4.6675215,-1.165198
748,-4.684861,-1.1716381
749,-4.711261,-1.1759961
750,-4.7210026,-1.1875724
751,-4.721187,-1.18414
752,-4.6294127,-1.1614703
753,-4.159883,-1.0397804
754,-4.334285,-1.0729465
755,-4.348853,-1.0915705
756,-4.133558,-1.012444
757,-4.176287,-1.029449
758,-3.886026,-0.9565777
759,-3.9928653,-0.9931919
760,-4.001872,-0.9951003
761,-4.0340476,-0.99026096
762,-4.0412855,-0.9938736
763,-3.9049237,-0.9758841
764,-3.8926806,-0.976899
765,-3.9742236,-0.9938962
766,-3.9907522,-1.0068924
767,-4.352837,-1.1176673
768,-4.377216,-1.1115022
769,-4.4039774,-1.1211568
770,-4.322939,-1.1024879
771,-4.331514,-1.1119889
772,-3.9922578,-1.0038738
773,-3.9199548,-0.9966442
774,-3.9474761,-0.97706693
775,-3.800952,-0.96410495
776,-3.774733,-0.9758279
777,-3.716441,-0.95453197
778,-3.7379546,-0.96793693
779,-3.7533438,-0.96306235
780,-3.829646,-0.97721493
781,-3.8300486,-0.99511504
782,-3.843925,-0.9915073
783,-3.8284152,-0.97286123
784,-3.7817805,-0.9667689
785,-3.8320947,-0.969874
786,-3.8517482,-0.9720693
787,-3.6149974,-0.915327
788,-3.8358822,-0.95582384
789,-3.778213,-0.97356534
790,-3.8010194,-0.9416285
791,-3.8088105,-0.9619527
792,-3.6124043,-0.9196045
793,-3.6346405,-0.89751923
794,-3.6360772,-0.91020757
795,-3.8588467,-0.9505941
796,-3.9247456,-0.9776819
797,-3.9358566,-0.99044174
798,-3.7086225,-0.92800164
799,-3.7089891,-0.9308025
800,-3.90017,-0.9735191
801,-4.000583,-1.0040071
802,-4.010924,-0.99994045
803,-4.443271,-1.1161802
804,-4.4457607,-1.1135596
805,-4.4606752,-1.1245623
806,-4.493453,-1.1543508
807,-4.49227,-1.1365751
808,-4.0534577,-0.9978014
809,-4.1865344,-1.0579596
810,-4.2094264,-1.052083
811,-4.226786,-1.0482912
812,-4.1570125,-1.0276321
813,-4.1189904,-1.0280739
814,-4.2559094,-1.069944
815,-4.447053,-1.1175306
816,-4.4604735,-1.1268651
817,-4.4193587,-1.1228303
818,-4.5783753,-1.1744349
819,-4.601983,-1.177173
820,-4.617978,-1.1826782
821,-4.1541567,-1.0501285
822,-4.1648097,-1.0578989
823,-4.8277283,-1.2308019
824,-4.8360376,-1.2295499
825,-4.8636627,-1.2394977
826,-4.8873634,-1.2414409
827,-4.803095,-1.2312254
828,-4.847264,-1.2536238
829,-4.9072976,-1.2529707
830,-4.950335,-1.2603034
831,-5.007267,-1.2506559
832,-4.9954824,-1.2694159
833,-4.999451,-1.2591856
834,-5.0287223,-1.281459
835,-4.9770384,-1.24517
836,-4.973645,-1.2518857
837,-5.0067625,-1.2578611
838,-5.0237317,-1.2562273
839,-4.9995685,-1.2566757
840,-5.015406,-1.2737402
841,-5.052491,-1.2674422
842,-5.084078,-1.2754244
843,-5.0849056,-1.2776574
844,-5.104539,-1.2739445
845,-5.078418,-1.2767673
