"sparse weighted graph embedding,"	,"
257,-2.6444786,-0.6925792	,-2.4029741,0.10856317
258,-2.665206,-0.6882659	,-2.4099557,0.1093329
259,-2.7139328,-0.68942964	,-2.360279,0.11402016
260,-2.7050886,-0.69810355	,-2.3601582,0.11792936
261,-2.7342715,-0.6987375	,-2.340711,0.11374465
262,-2.7300797,-0.7008826	,-2.348114,0.09779162
263,-2.7698493,-0.7199265	,-2.3178754,0.11296541
264,-2.717157,-0.6992069	,-2.320842,0.12190027
265,-2.733815,-0.69312435	,-2.3972495,0.09793886
266,-2.7267435,-0.70453626	,-2.3919435,0.10792366
267,-2.6968822,-0.70229715	,-2.407107,0.094463274
268,-2.7045784,-0.6941366	,-2.3476279,0.09496261
269,-2.7112384,-0.70090103	,-2.3528726,0.1041658
270,-2.7295318,-0.71458393	,-2.3621876,0.09866486
271,-2.7005312,-0.702633	,-2.3658319,0.09855952
272,-2.738015,-0.7038503	,-2.2905612,0.13514721
273,-2.7458308,-0.7119961	,-2.2825687,0.12025625
274,-2.7747142,-0.70516557	,-2.2911184,0.117078535
275,-2.7501423,-0.70689386	,-2.315616,0.10478865
276,-2.7567205,-0.7135261	,-2.3159552,0.12951393
277,-2.8979108,-0.7358117	,-2.479804,0.10153083
278,-2.9027576,-0.75313807	,-2.5032423,0.10188316
279,-2.9021168,-0.7394494	,-2.5158951,0.11352212
280,-2.9554565,-0.76976293	,-2.5856936,0.11798048
281,-3.03097,-0.76632434	,-2.6025648,0.12653257
282,-3.0341961,-0.7776358	,-2.6237292,0.13749196
283,-3.0045786,-0.7666467	,-2.6667798,0.09604753
284,-3.1040382,-0.77407396	,-2.702984,0.12365216
285,-3.1149483,-0.7752827	,-2.6347067,0.14182426
286,-3.1865487,-0.79147017	,-2.7245858,0.12755145
287,-3.2476687,-0.8115147	,-2.725314,0.13760027
288,-3.0544565,-0.7741556	,-2.6637967,0.13546129
289,-3.1551569,-0.8095733	,-2.670485,0.12658545
290,-3.2597783,-0.81093204	,-2.706141,0.1368799
291,-3.3208501,-0.81176925	,-2.761746,0.13168654
292,-3.4673417,-0.8580052	,-2.8386693,0.1450385
293,-3.3320925,-0.8218667	,-2.719134,0.13067544
294,-3.326246,-0.8255461	,-2.7206473,0.13830966
295,-3.330461,-0.83719814	,-2.7312963,0.11631952
296,0.026778065,-0.035494138	,0.026778065,-0.035494138
297,-0.12050286,-0.03625555	,-0.12050286,-0.03625555
298,-0.0001400446,-0.09774605	,-0.0001400446,-0.09774605
299,-0.2374627,-0.004381324	,-0.2374627,-0.004381324
300,-0.10706612,0.10438023	,-0.10706612,0.10438023
301,0.09848391,0.04189123	,0.09848391,0.04189123
302,-0.23037274,0.1196866	,-0.23037274,0.1196866
303,-4.42589,-1.0892066	,0.12003683,-0.05860054
304,-4.445193,-1.0813712	,-3.066392,0.10597506
305,-4.4487443,-1.0891589	,-3.0674918,0.1299321
306,-4.4560356,-1.0959582	,-3.0625503,0.11018414
307,-4.5041203,-1.1164911	,-3.0736275,0.1314259
308,-4.4828577,-1.0994425	,-3.0712595,0.11543412
309,-4.487661,-1.0989827	,-3.0886898,0.12560558
310,-4.5003986,-1.1097378	,-3.0885186,0.12837233
311,-4.5072703,-1.1114373	,-3.0932386,0.110430315
312,-4.5411453,-1.1017065	,-3.0916994,0.11361058
313,-4.5539165,-1.1196095	,-3.0953717,0.119218044
314,-4.5690637,-1.119536	,-3.1119478,0.13569511
315,-4.5744305,-1.1370239	,-3.1059535,0.13673866
316,-4.5919704,-1.1416736	,-3.1091516,0.13620546
317,-4.308346,-1.0577317	,-3.0394137,0.07298391
318,-4.129031,-1.0291989	,-2.9350228,0.109897576
319,-3.7283912,-0.9353435	,-2.885652,0.06487754
320,-3.6826098,-0.91639316	,-2.840516,0.11456289
321,-3.6888678,-0.93705404	,-2.8495936,0.0973643
322,-3.7001655,-0.9241065	,-2.8739505,0.092729606
323,-3.5867832,-0.89302075	,-2.8839278,0.09373536
324,-3.5891771,-0.89816076	,-2.8753638,0.10371254
325,-3.382611,-0.83972985	,-2.7544682,0.06286549
326,-3.3798528,-0.81707513	,-2.7448442,0.07509531
327,-3.4081914,-0.8566626	,-2.757305,0.08017592
328,-3.3921711,-0.85507023	,-2.7619853,0.09720542
329,-3.4049885,-0.86099654	,-2.7649548,0.091375455
