"sparse weighted graph embedding,"	,"
13333,-3.2305398,-0.83096623	,-2.8290253,0.372778
13334,-3.2376997,-0.82509583	,-2.7908788,0.37389544
13335,-3.1176057,-0.80715424	,-2.6903007,0.3561483
13336,-3.1199818,-0.8169383	,-2.7080965,0.35296205
13337,-3.1224883,-0.81321746	,-2.6468263,0.34873903
13338,-3.0528352,-0.80493027	,-2.6532316,0.34805593
13339,-2.89057,-0.7619979	,-2.5193052,0.34342182
13340,-2.8217635,-0.75576144	,-2.4847581,0.329711
13341,-2.8213751,-0.74582845	,-2.4903815,0.3373339
13342,-2.839772,-0.7590186	,-2.4955902,0.33014965
13343,-2.8473809,-0.75350374	,-2.4582841,0.33964154
13344,-2.8726017,-0.7631513	,-2.4874144,0.34368962
13345,-2.8868525,-0.7609443	,-2.4857235,0.35259715
13346,-2.8236866,-0.7490702	,-2.4915874,0.33615577
13347,-2.7592082,-0.7242261	,-2.4723911,0.32719192
13348,-2.7502012,-0.732476	,-2.5164082,0.35859114
13349,-2.7356977,-0.7244359	,-2.494346,0.34874052
13350,-2.7303915,-0.7251688	,-2.501043,0.347725
13351,-2.7275164,-0.72471195	,-2.489294,0.35130748
13352,-2.7317727,-0.72182494	,-2.5052135,0.34831265
13353,-2.6970403,-0.70524395	,-2.5066116,0.35417935
13354,-2.6737134,-0.70439464	,-2.5089998,0.34337267
13355,-2.6922786,-0.7166727	,-2.4526954,0.34237742
13356,-2.6704473,-0.7090557	,-2.4240866,0.32949543
13357,-2.6200547,-0.70228344	,-2.3719068,0.32334578
13358,-2.5872858,-0.6871893	,-2.3267324,0.30302283
13359,-2.5831518,-0.70169973	,-2.2935605,0.3176477
13360,-2.5255227,-0.6763936	,-2.2472446,0.31841525
13361,-2.5212317,-0.6831468	,-2.2873807,0.3014944
13362,-2.574687,-0.68393964	,-2.315185,0.328295
13363,-2.560304,-0.6824397	,-2.314291,0.31796563
13364,-2.4756582,-0.6595793	,-2.3128195,0.30417693
13365,-2.472236,-0.662453	,-2.3912585,0.32143235
13366,-2.5025306,-0.6738734	,-2.3658922,0.31574294
13367,-2.4673388,-0.6622222	,-2.2855322,0.32727632
13368,-2.4799027,-0.656252	,-2.3008568,0.3109348
13369,-2.484742,-0.6704779	,-2.2966318,0.3085952
13370,-2.495185,-0.66818625	,-2.2554383,0.29369995
13371,-2.499964,-0.6652852	,-2.2311485,0.30867216
13372,-2.4707189,-0.6631643	,-2.2417357,0.30774483
13373,-2.3674135,-0.64919275	,-2.1889343,0.29891026
13374,-2.3723545,-0.6352886	,-2.1955926,0.32052106
13375,-2.3861587,-0.63866097	,-2.191492,0.3046388
13376,-2.4691184,-0.65102696	,-2.2283506,0.3018857
13377,-2.4607797,-0.65597063	,-2.2112095,0.32136682
13378,-2.3857195,-0.6494158	,-2.18164,0.32199192
13379,-2.3979194,-0.65310043	,-2.185197,0.3073171
13380,-2.3653884,-0.636873	,-2.1373358,0.2912574
13381,-2.3617923,-0.6393123	,-2.1282196,0.31020287
13382,-2.3335564,-0.6390388	,-2.1342072,0.30207574
13383,-2.327512,-0.63346046	,-2.1296136,0.3118993
13384,-2.313584,-0.6270192	,-2.0995567,0.28903732
13385,-2.3259013,-0.6342442	,-2.0761364,0.29642057
13386,-2.3265724,-0.62557787	,-2.0318542,0.2826313
13387,-2.352585,-0.6354453	,-2.0662365,0.2966108
13388,-2.3579412,-0.6347099	,-2.0206733,0.2753115
13389,-2.2862558,-0.6302272	,-2.000663,0.2918484
13390,-2.2390614,-0.61634254	,-1.989515,0.28308135
13391,-2.2687514,-0.6131712	,-2.0064237,0.2991019
13392,-2.2404296,-0.6083649	,-1.9689163,0.2748537
13393,-2.2466865,-0.61529887	,-1.9799284,0.27568218
13394,-2.3033693,-0.6284944	,-2.0209606,0.30353487
13395,-2.3483,-0.6473268	,-2.0828981,0.29711565
13396,-2.3084524,-0.6217336	,-2.0386147,0.2988614
13397,-2.3830793,-0.63325006	,-2.0926394,0.30485573
13398,-2.3665369,-0.63435614	,-2.086914,0.30572692
13399,-2.4067907,-0.6315571	,-2.1303988,0.30931097
13400,-2.4067786,-0.6315908	,-2.1410801,0.32357997
13401,-2.3808615,-0.6319473	,-2.1517594,0.31443208
13402,-2.4487114,-0.64613	,-2.323343,0.35367242
13403,-2.4278965,-0.6464376	,-2.239952,0.33870763
13404,-2.4482853,-0.6500679	,-2.2429729,0.32957837
13405,-2.454612,-0.652419	,-2.2606735,0.3579525
13406,-2.485144,-0.66151476	,-2.280537,0.3418463
13407,-2.4888418,-0.6614088	,-2.278011,0.34118873
13408,-2.5202441,-0.66222364	,-2.288261,0.32528603
13409,-2.5658586,-0.6726604	,-2.3000255,0.32223302
13410,-2.6262639,-0.70522034	,-2.384813,0.33650526
13411,-2.587243,-0.6990585	,-2.3060563,0.3257622
13412,-2.5813997,-0.6879185	,-2.2954347,0.33606425
13413,-2.5601137,-0.6625657	,-2.3056426,0.34751877
13414,-2.5949404,-0.6774446	,-2.2988734,0.33269987
13415,-2.6730149,-0.69595003	,-2.3875494,0.34879583
13416,-2.6630328,-0.7013281	,-2.4231975,0.35764527
13417,-2.6327324,-0.6906564	,-2.5329828,0.3670812
13418,-2.6361175,-0.6933361	,-2.5417702,0.36601835
13419,-2.6313438,-0.6899279	,-2.5174186,0.34694877
13420,-2.650052,-0.69589996	,-2.4843872,0.3673106
13421,-2.669961,-0.6984121	,-2.4209082,0.38028908
13422,-2.6566017,-0.6963229	,-2.3597054,0.34891137
13423,-2.5666537,-0.67986345	,-2.3269627,0.33503732
13424,-2.5494535,-0.6735494	,-2.340131,0.34516326
13425,-2.5604804,-0.66423786	,-2.36312,0.35327977
13426,-2.5534322,-0.66372085	,-2.3587096,0.35589412
13427,-2.5457516,-0.6774719	,-2.3648775,0.36035576
13428,-2.5617263,-0.67520475	,-2.392725,0.33809075
13429,-2.600892,-0.6936248	,-2.467083,0.36321685
13430,-2.6420019,-0.6920803	,-2.4323833,0.362278
13431,-2.7191153,-0.7116425	,-2.4312732,0.36798877
13432,-2.7401664,-0.71196926	,-2.4205458,0.35905015
13433,-2.8530533,-0.73457325	,-2.4960074,0.35972053
13434,-2.836832,-0.736605	,-2.5024548,0.3486331
13435,-2.8050594,-0.7195719	,-2.5389588,0.35841098
13436,-2.8397377,-0.732085	,-2.6131136,0.37386698
13437,-2.875714,-0.74011755	,-2.6657763,0.3901172
13438,-2.855711,-0.75150543	,-2.7745872,0.39156753
13439,-2.87932,-0.74270815	,-2.7717268,0.39748374
13440,-2.9189184,-0.7612011	,-2.6843448,0.39434466
13441,-2.894128,-0.74400866	,-2.6802998,0.38327646
13442,-2.888059,-0.75206816	,-2.6840017,0.39793968
13443,-2.8276544,-0.72725725	,-2.6510243,0.38752538
13444,-2.7782493,-0.7159084	,-2.6481156,0.38513684
13445,-2.7688828,-0.7140583	,-2.5355625,0.36879614
13446,-2.7606413,-0.71835023	,-2.5725558,0.3607214
13447,-2.76778,-0.7120291	,-2.5986426,0.37177128
13448,-2.8082395,-0.7299687	,-2.6415977,0.3731605
13449,-2.8401065,-0.74353445	,-2.6429684,0.37059152
13450,-2.909254,-0.7455092	,-2.6425667,0.38071957
13451,-2.9158103,-0.7496896	,-2.6206672,0.39009753
13452,-2.8554125,-0.7409915	,-2.6162858,0.3826348
13453,-2.8682556,-0.7340134	,-2.582377,0.3740836
13454,-2.866416,-0.74216783	,-2.5764089,0.36797118
13455,-2.8200657,-0.73008263	,-2.5456545,0.38490045
13456,-2.7671154,-0.7178312	,-2.5665805,0.36778146
13457,-2.771326,-0.72021484	,-2.529956,0.37555525
13458,-2.8079386,-0.7272537	,-2.589235,0.36707276
13459,-2.6929576,-0.69515973	,-2.5518878,0.3621833
13460,-2.7850552,-0.7302768	,-2.5500827,0.3802856
13461,-2.799216,-0.7330757	,-2.5108147,0.36770818
13462,-2.6597025,-0.70125896	,-2.3951879,0.3330258
13463,-2.6518154,-0.7034157	,-2.3805995,0.34626585
13464,-2.5948017,-0.6855422	,-2.3580246,0.33825827
13465,-2.5547516,-0.67696667	,-2.3426023,0.3399699
13466,-2.4241583,-0.65070474	,-2.2266538,0.3313743
13467,-2.4040647,-0.65116346	,-2.2057657,0.34317258
13468,-2.3918684,-0.6512918	,-2.172421,0.32042748
13469,-2.357715,-0.6229026	,-2.137928,0.304733
13470,-2.391259,-0.6371703	,-2.1284165,0.33317998
13471,-2.4114149,-0.6508586	,-2.1366,0.31377143
13472,-2.4945107,-0.65820545	,-2.1783128,0.32950094
13473,-2.5052245,-0.6585189	,-2.2117357,0.3310139
13474,-2.4520278,-0.6533188	,-2.2068233,0.33081633
13475,-2.3851962,-0.63693887	,-2.1297283,0.30233482
13476,-2.3641694,-0.64063835	,-2.1204634,0.3150215
13477,-2.3016655,-0.63260126	,-2.0947165,0.32148752
13478,-2.323276,-0.62682426	,-2.1117036,0.31198937
13479,-2.302123,-0.622669	,-2.1998427,0.34317043
13480,-2.2882297,-0.62410647	,-2.2576675,0.3570008
13481,-2.3187504,-0.6417574	,-2.2391396,0.3421919
13482,-2.3198025,-0.62540966	,-2.1823874,0.34343955
13483,-2.3156052,-0.6238854	,-2.1821334,0.34375674
13484,-2.347191,-0.63180184	,-2.18323,0.33590022
13485,-2.2829812,-0.6326619	,-2.1437187,0.34136695
13486,-2.2432754,-0.622079	,-2.065867,0.33110207
13487,-2.2549667,-0.6157643	,-2.0889606,0.32327917
13488,-2.158319,-0.6054739	,-1.9994131,0.3155343
13489,-2.1746097,-0.60613894	,-2.0048516,0.30683059
13490,-2.1895702,-0.6016115	,-2.0040455,0.3115387
13491,-2.187743,-0.6167944	,-2.0172153,0.3298034
13492,-2.2319908,-0.6137282	,-2.0493379,0.31193176
13493,-2.245167,-0.62453306	,-2.0467215,0.32189626
13494,-2.2240472,-0.6130789	,-2.0453002,0.31811196
13495,-2.2324462,-0.61301726	,-2.0167382,0.31402278
13496,-2.214401,-0.6153628	,-1.9672252,0.30201513
13497,-2.1846325,-0.6014413	,-1.9700106,0.30465803
13498,-2.1580613,-0.5843047	,-1.9558821,0.3019901
13499,-2.1113636,-0.58591866	,-1.9440085,0.29328415
13500,-2.0918071,-0.57727575	,-1.8829732,0.2793586
13501,-2.13925,-0.5853024	,-1.8889432,0.2790876
13502,-2.098479,-0.5863498	,-1.8937242,0.28358787
13503,-2.119049,-0.57717156	,-1.9019667,0.2908822
13504,-2.1636553,-0.59593016	,-1.90962,0.29425704
13505,-2.1620128,-0.59393996	,-1.9072922,0.28763554
13506,-2.1983423,-0.6061736	,-1.9542654,0.3032297
13507,-2.18009,-0.59871125	,-1.944882,0.28978285
13508,-2.2038934,-0.5984112	,-1.9665189,0.2931779
13509,-2.1929567,-0.6091086	,-1.9650418,0.29246753
13510,-2.1883948,-0.6131822	,-1.9604652,0.30035535
13511,-2.2255113,-0.6183422	,-2.0920956,0.32294327
13512,-2.300623,-0.6143162	,-2.1400347,0.34610352
13513,-2.2890432,-0.6153779	,-2.1581492,0.3163308
13514,-2.3335562,-0.6310211	,-2.218747,0.34052408
13515,-2.3238714,-0.62741536	,-2.2793384,0.35301203
13516,-2.3603137,-0.6240632	,-2.311919,0.34982836
13517,-2.3588676,-0.6362126	,-2.3176124,0.36002216
13518,-2.3833027,-0.65082777	,-2.2595623,0.3501851
13519,-2.393197,-0.6502719	,-2.2059584,0.33500692
13520,-2.3974485,-0.6428748	,-2.193997,0.342444
13521,-2.3560061,-0.6411901	,-2.177634,0.3144281
13522,-2.3303866,-0.6383158	,-2.2488008,0.3285933
13523,-2.2899456,-0.62301457	,-2.1485298,0.30909395
13524,-2.281563,-0.6224295	,-2.0889525,0.30455655
13525,-2.330872,-0.6395066	,-2.1149929,0.3086685
13526,-2.2949638,-0.63785	,-2.1271124,0.31233698
13527,-2.3021617,-0.6272389	,-2.1618276,0.32646492
13528,-2.2965193,-0.6326837	,-2.1262286,0.31766468
13529,-2.3037956,-0.6259128	,-2.1575933,0.33266726
13530,-2.3086827,-0.6376155	,-2.1599317,0.32580936
13531,-2.2802837,-0.62459314	,-2.0989778,0.3158884
13532,-2.2860863,-0.62107414	,-2.0792563,0.29590112
13533,-2.3245928,-0.635776	,-2.0780306,0.3123376
13534,-2.2866418,-0.63211304	,-2.052961,0.30327442
13535,-2.2922025,-0.63149726	,-2.095485,0.31425706
13536,-2.3306024,-0.6275835	,-2.1174366,0.31518888
13537,-2.34622,-0.6411063	,-2.0987964,0.30817303
13538,-2.4140146,-0.65728086	,-2.129942,0.3301468
13539,-2.411393,-0.661902	,-2.145372,0.3236644
13540,-2.38656,-0.65848553	,-2.1480682,0.32521966
13541,-2.3861756,-0.65114427	,-2.136011,0.31957653
13542,-2.3726673,-0.65328	,-2.1711524,0.33127826
13543,-2.4158375,-0.64259803	,-2.169151,0.31605858
13544,-2.4230297,-0.6605251	,-2.123886,0.32771844
13545,-2.4329762,-0.6607011	,-2.144174,0.32883134
13546,-2.3993917,-0.65565705	,-2.135889,0.32943583
13547,-2.3967023,-0.6564308	,-2.1209526,0.34236646
13548,-2.3964605,-0.6563025	,-2.1305926,0.32100603
13549,-2.3949919,-0.65734243	,-2.1187131,0.32215938
13550,-2.405059,-0.64657503	,-2.1007698,0.30474907
13551,-2.3698218,-0.64167184	,-2.1220224,0.30572838
13552,-2.3363426,-0.63526905	,-2.1117554,0.31740376
13553,-2.3395271,-0.64289004	,-2.0995438,0.31446004
13554,-2.381912,-0.64816684	,-2.111132,0.31640378
13555,-2.4214683,-0.650328	,-2.1623423,0.32783875
13556,-2.4123666,-0.65750736	,-2.1901906,0.33215532
13557,-2.4169817,-0.65632975	,-2.2039683,0.32155648
13558,-2.5072038,-0.67701626	,-2.316178,0.34150928
13559,-2.5265749,-0.67929286	,-2.3253605,0.35686362
13560,-2.674586,-0.70559096	,-2.3396173,0.33924368
13561,-2.6633592,-0.71707404	,-2.3736274,0.34363312
13562,-2.680513,-0.7144443	,-2.3835154,0.34823996
13563,-2.7407205,-0.7237582	,-2.406572,0.34876472
13564,-2.7754393,-0.718112	,-2.4055293,0.36429358
13565,-2.770648,-0.7298326	,-2.41363,0.35923183
13566,-2.7842975,-0.72492576	,-2.3820763,0.35917297
13567,-2.7180712,-0.70949095	,-2.3823211,0.36658305
13568,-2.7958272,-0.73508203	,-2.438703,0.36967522
13569,-2.7884145,-0.7323978	,-2.432185,0.36981854
13570,-2.7394614,-0.7139866	,-2.40612,0.36535516
13571,-2.8452923,-0.7507201	,-2.4554994,0.34238276
13572,-2.9403372,-0.7671565	,-2.5156877,0.36917496
13573,-2.9835188,-0.7779211	,-2.5095286,0.37994105
13574,-2.9839685,-0.7672681	,-2.4978924,0.36159143
13575,-2.8759527,-0.74378574	,-2.5063708,0.35552022
13576,-2.8495688,-0.7406732	,-2.507113,0.36861935
13577,-2.8783348,-0.74651235	,-2.5661144,0.36776635
13578,-2.8774784,-0.75739264	,-2.5777204,0.36647063
13579,-2.9036038,-0.75090563	,-2.601029,0.3763733
13580,-2.9280627,-0.7646169	,-2.6143,0.37949076
13581,-2.9433167,-0.7663929	,-2.6180925,0.36757663
13582,-2.9274538,-0.7587181	,-2.6095085,0.37985727
13583,-2.9762704,-0.7743517	,-2.618868,0.38868538
13584,-2.9450178,-0.77414525	,-2.5644152,0.3784066
13585,-2.9601183,-0.76241505	,-2.5913196,0.373195
13586,-2.8942516,-0.74539536	,-2.594207,0.36874875
13587,-3.0009384,-0.7774427	,-2.679654,0.37061134
13588,-2.8834844,-0.7470537	,-2.6310155,0.34646505
13589,-2.7735596,-0.7321461	,-2.5583644,0.36711535
13590,-2.7774563,-0.73004377	,-2.537258,0.3807945
13591,-2.7845201,-0.7283148	,-2.5601406,0.3766804
13592,-2.9080317,-0.7633586	,-2.5715106,0.37502667
13593,-2.891695,-0.7521944	,-2.5639718,0.39315853
13594,-2.930646,-0.75988024	,-2.5391963,0.3917157
13595,-2.933173,-0.75704205	,-2.5634966,0.3856966
13596,-2.947805,-0.7675521	,-2.5688515,0.37866643
13597,-2.9453826,-0.7667858	,-2.605012,0.3639717
13598,-3.0325117,-0.7881045	,-2.6564555,0.37333837
13599,-3.038894,-0.78135556	,-2.7219913,0.37010282
13600,-3.040462,-0.7776438	,-2.7109091,0.37830234
13601,-3.0430014,-0.79200596	,-2.6853697,0.37538502
13602,-3.1302943,-0.8110142	,-2.7184947,0.3759928
13603,-3.123615,-0.80191994	,-2.781592,0.38570246
13604,-3.1346123,-0.81327295	,-2.7845082,0.38725117
13605,-3.124013,-0.8042991	,-2.7917578,0.39397836
13606,-3.113945,-0.79573244	,-2.7958753,0.40747422
13607,-3.1842382,-0.8186218	,-2.8490655,0.3921613
13608,-3.1167536,-0.8055374	,-2.8406048,0.41086015
13609,-3.0749083,-0.7919702	,-2.8395646,0.4140877
13610,-3.0711608,-0.7918142	,-2.8168502,0.38103324
13611,-3.0621498,-0.78395545	,-2.7983217,0.38028735
13612,-3.0646412,-0.7887346	,-2.806627,0.39525688
13613,-3.0950122,-0.79790175	,-2.8021762,0.39268613
13614,-3.1185775,-0.7979679	,-2.8081067,0.39878225
13615,-3.0513568,-0.7947936	,-2.819219,0.3886968
13616,-3.0345643,-0.7846897	,-2.751622,0.39545447
13617,-3.0596118,-0.78579795	,-2.7562861,0.40018076
13618,-3.0675755,-0.7923256	,-2.7625558,0.407109
13619,-3.059377,-0.7989923	,-2.7904902,0.39802533
13620,-3.0632136,-0.7915435	,-2.7875783,0.3985728
13621,-3.0705714,-0.8071611	,-2.800588,0.40015605
13622,-3.0678096,-0.7892696	,-2.748743,0.3866502
13623,-3.0531359,-0.79930806	,-2.7459915,0.40308693
13624,-2.982903,-0.78859586	,-2.7395267,0.40553942
13625,-3.06213,-0.79182583	,-2.738137,0.39183334
13626,-3.2124763,-0.8258319	,-2.7819672,0.39077306
13627,-3.2658637,-0.84619045	,-2.781361,0.3949835
13628,-3.2724152,-0.8565908	,-2.7881818,0.3898141
13629,-3.282186,-0.85005367	,-2.78317,0.40212342
13630,-3.2938488,-0.8615194	,-2.7913182,0.4017233
13631,-3.2115273,-0.82861847	,-2.7912436,0.39509434
13632,-3.2105024,-0.8264329	,-2.7967367,0.4022476
13633,-3.1658297,-0.8191503	,-2.8077528,0.40094668
13634,-3.161448,-0.82401323	,-2.890014,0.41556773
13635,-3.2211108,-0.82819605	,-2.8886461,0.4078134
13636,-3.1540508,-0.830708	,-2.8907351,0.4142373
13637,-3.175539,-0.8161818	,-2.9023836,0.41918078
13638,-3.277554,-0.8583731	,-2.911255,0.4083067
13639,-3.2893798,-0.863003	,-2.9086106,0.4102384
13640,-3.2628665,-0.8436025	,-2.9110749,0.42176822
13641,-3.2995694,-0.85242313	,-2.9092638,0.39919987
13642,-3.20427,-0.8440844	,-2.9106054,0.4016398
13643,-3.1925044,-0.82981706	,-2.9116585,0.4106508
13644,-3.19071,-0.82787496	,-2.9897323,0.406045
13645,-3.205709,-0.8219655	,-2.987563,0.4041683
13646,-3.2970946,-0.83972675	,-2.9905055,0.40713206
13647,-3.3137481,-0.8510612	,-3.097108,0.4059947
13648,-3.3037095,-0.85373807	,-3.094581,0.4190228
13649,-3.2240036,-0.8281421	,-3.1016748,0.43095344
13650,-3.2352812,-0.8312002	,-3.1041744,0.42198965
13651,-3.2683976,-0.8496792	,-2.9898357,0.41216025
13652,-3.3591185,-0.8648064	,-3.0016046,0.40079358
13653,-3.3716927,-0.8639665	,-2.9859643,0.39756486
13654,-3.3693247,-0.87782407	,-2.9905286,0.4078721
13655,-3.38434,-0.86435556	,-2.9884555,0.40972778
13656,-3.3758276,-0.8641937	,-2.9822028,0.41395897
13657,-3.3875437,-0.87770665	,-2.9826956,0.41550842
13658,-3.3733327,-0.8820834	,-2.9826207,0.40466556
13659,-3.3953834,-0.869633	,-2.9914014,0.40785044
13660,-3.4718404,-0.89454883	,-2.9766195,0.41554675
13661,-3.461404,-0.8954636	,-3.0045216,0.41767505
13662,-3.3930655,-0.87469125	,-2.9955966,0.42313826
13663,-3.4432895,-0.88995975	,-3.024578,0.41532576
13664,-3.4366436,-0.8923264	,-3.03917,0.40999776
13665,-3.4498065,-0.90418154	,-3.0064857,0.42828584
13666,-3.520914,-0.9052468	,-3.016542,0.41143435
13667,-3.5262578,-0.9095571	,-3.1343923,0.42756265
13668,-3.525745,-0.9034518	,-3.1450763,0.42741257
13669,-3.36872,-0.86989015	,-3.1411972,0.427539
13670,-3.3508475,-0.8724967	,-3.14658,0.42656162
13671,-3.2965071,-0.85076857	,-3.1564162,0.4399657
13672,-3.3025508,-0.85253847	,-3.1585133,0.4224105
13673,-3.3204224,-0.8577294	,-3.1610248,0.42934796
13674,-3.3732905,-0.87098926	,-3.1730304,0.43497324
13675,-3.385556,-0.8819854	,-3.1632092,0.44071546
13676,-3.2211232,-0.8357378	,-3.0904725,0.43969074
13677,-3.119671,-0.80544853	,-3.0041127,0.42767262
13678,-3.0593898,-0.78033316	,-2.9910748,0.415707
13679,-3.07369,-0.79286915	,-2.9879613,0.41478208
13680,-3.0161333,-0.7818717	,-2.9479954,0.41721517
13681,-3.029898,-0.7746486	,-2.963092,0.4317949
13682,-3.137063,-0.8145593	,-2.9611742,0.4207268
13683,-3.1344392,-0.81064236	,-2.9531755,0.41842046
13684,-3.0784194,-0.79920644	,-2.8542426,0.39462253
13685,-3.1080644,-0.80118084	,-2.8274271,0.40054116
13686,-3.1972873,-0.8202656	,-2.7899575,0.40252146
13687,-3.2149594,-0.83140385	,-2.7970505,0.39459977
13688,-3.2134404,-0.83215046	,-2.7822914,0.40503037
13689,-3.2231817,-0.82172793	,-2.7925766,0.4070253
13690,-3.1983712,-0.8262108	,-2.8008769,0.4162566
13691,-3.2068453,-0.8306928	,-2.7923608,0.40715805
13692,-3.1405914,-0.81447953	,-2.8036394,0.39678657
13693,-3.1131294,-0.8101508	,-2.797424,0.40456226
13694,-3.1518354,-0.8218446	,-2.7749956,0.42138815
13695,-3.1596603,-0.81588656	,-2.7864296,0.39584634
13696,-3.1790857,-0.818018	,-2.7831492,0.4084398
13697,-3.2182333,-0.83405864	,-2.7354486,0.40499255
13698,-3.2240038,-0.8393916	,-2.700078,0.37973943
13699,-3.145928,-0.8077625	,-2.6948247,0.40470427
13700,-3.1530254,-0.81544876	,-2.7076182,0.384423
13701,-3.0523376,-0.78930175	,-2.6631982,0.39458334
13702,-3.0465267,-0.7925654	,-2.6887763,0.39982
13703,-3.0571563,-0.79696685	,-2.770771,0.40177324
13704,-3.074828,-0.79750776	,-2.7745907,0.4091008
13705,-3.1103911,-0.8095054	,-2.7829778,0.418546
13706,-3.113157,-0.8034274	,-2.790387,0.40365627
13707,-3.1538274,-0.81015027	,-2.7956946,0.43344072
13708,-3.1779487,-0.82451224	,-2.7917309,0.42135888
13709,-3.1782472,-0.8275869	,-2.8089728,0.41149166
13710,-3.1731138,-0.8148327	,-2.7804458,0.41435695
13711,-3.2229252,-0.8219116	,-2.8486753,0.40407148
13712,-3.2506871,-0.82507426	,-2.959826,0.42200115
13713,-3.354816,-0.8550264	,-3.0234284,0.42875308
13714,-3.3642056,-0.8666486	,-3.0402832,0.42502767
13715,-3.4533253,-0.87804127	,-3.0467432,0.42064792
13716,-3.4591146,-0.8971863	,-3.0426078,0.41829774
13717,-3.4886913,-0.8953353	,-3.0514603,0.42379972
13718,-3.493423,-0.8933766	,-2.997003,0.4208297
13719,-3.4901311,-0.9034341	,-3.0717163,0.42534468
13720,-3.425875,-0.88520885	,-3.0679848,0.43746886
13721,-3.4207566,-0.8826075	,-3.0714047,0.42497417
13722,-3.4407923,-0.8876655	,-3.0776722,0.43688193
13723,-3.44447,-0.89807	,-3.0799441,0.43486518
13724,-3.4546025,-0.89152426	,-3.083883,0.44330612
13725,-3.44366,-0.89288044	,-3.0799527,0.43390632
13726,-3.434012,-0.89131993	,-3.0954206,0.44125393
13727,-3.3415282,-0.8613866	,-3.060894,0.42810053
13728,-3.2752135,-0.8407388	,-3.0510325,0.42723602
13729,-3.2282777,-0.8233663	,-2.9958377,0.4259141
13730,-3.2380378,-0.83607996	,-2.9765034,0.4382435
13731,-3.1878142,-0.82362866	,-3.050339,0.4557375
13732,-3.2016354,-0.8167636	,-3.056121,0.45916125
13733,-3.2111764,-0.8296385	,-2.9583771,0.4284843
13734,-3.233233,-0.83111084	,-2.9520714,0.43568143
13735,-3.2315295,-0.82898486	,-2.9463942,0.43253744
13736,-3.2539706,-0.8309153	,-2.918485,0.425036
13737,-3.2499948,-0.82211804	,-2.8824718,0.40535906
13738,-3.2981641,-0.85547584	,-2.8830922,0.41631508
13739,-3.2938995,-0.8482237	,-2.8935752,0.4295578
13740,-3.3714051,-0.86317784	,-2.940764,0.43780634
13741,-3.4755177,-0.89504427	,-2.94432,0.43934882
13742,-3.4636192,-0.8928966	,-2.9369125,0.4460329
13743,-3.3698716,-0.8696056	,-2.942599,0.4321514
13744,-3.350779,-0.8567231	,-2.9474802,0.4494741
13745,-3.3770766,-0.8729515	,-2.945139,0.4352132
13746,-3.392991,-0.86635995	,-2.852355,0.42659292
13747,-3.3473256,-0.8638946	,-2.858071,0.40965146
13748,-3.4605396,-0.8802022	,-2.984091,0.4231841
13749,-3.48805,-0.89773947	,-3.0413332,0.44549015
13750,-3.4994211,-0.8881362	,-3.0458581,0.44428262
13751,-3.4977186,-0.88590753	,-3.0340316,0.44190666
13752,-3.5001976,-0.8894239	,-3.1016884,0.45749283
13753,-3.614815,-0.9227659	,-3.1034365,0.4454541
13754,-3.629073,-0.9277049	,-3.1043165,0.43358052
13755,-3.626365,-0.9271056	,-3.110781,0.44976068
13756,-3.4948487,-0.88663083	,-3.1120358,0.43365213
13757,-3.5930057,-0.92254776	,-3.1144195,0.4567544
13758,-3.613747,-0.9260986	,-3.1154811,0.45256692
13759,-3.5899236,-0.9214372	,-3.1246767,0.4507148
13760,-3.531275,-0.8967608	,-3.1268468,0.4540617
13761,-3.4850678,-0.886723	,-3.1398315,0.4432933
13762,-3.4971666,-0.90408945	,-3.1486816,0.45629066
13763,-3.4720588,-0.8870451	,-3.1482434,0.4618133
13764,-3.5661333,-0.90655583	,-3.1507268,0.46019867
13765,-3.6227245,-0.92698294	,-3.1927845,0.4324696
13766,-3.8871317,-1.0083649	,-3.197121,0.45083916
13767,-3.875698,-1.0080441	,-3.2147572,0.42946336
13768,-3.8692367,-0.99340004	,-3.214775,0.44236636
13769,-3.9265563,-1.017347	,-3.2077992,0.44259492
13770,-3.927587,-1.0164161	,-3.179252,0.4423205
13771,-3.957221,-1.024256	,-3.178766,0.44406006
13772,-3.850714,-0.9890445	,-3.2057154,0.4608427
13773,-4.0171905,-1.0521432	,-3.1649132,0.44130144
13774,-4.016403,-1.0442694	,-3.1578555,0.45188376
13775,-4.0221534,-1.0440395	,-3.1705167,0.4592339
13776,-4.049201,-1.0446572	,-3.1803763,0.443167
13777,-4.0493703,-1.049611	,-3.188161,0.45799828
13778,-4.2852526,-1.1148599	,-3.1883676,0.43848938
13779,-4.290829,-1.1159344	,-3.2735016,0.46300432
13780,-4.324018,-1.1273998	,-3.2825346,0.45633996
13781,-4.3435144,-1.1301682	,-3.2905478,0.46948844
13782,-4.3590155,-1.1391783	,-3.2896035,0.4527949
13783,-4.3622756,-1.1424941	,-3.4151053,0.47240403
13784,-4.3700433,-1.1407212	,-3.4185557,0.47634712
13785,-4.3969865,-1.1464547	,-3.4201107,0.48393798
13786,-4.0507846,-1.0450937	,-3.4351883,0.48597306
13787,-3.9781792,-1.0361291	,-3.4390087,0.47764218
13788,-3.865947,-0.98391384	,-3.443112,0.46978387
13789,-3.9128249,-1.0094382	,-3.4567103,0.49151894
13790,-3.933099,-1.0064938	,-3.450916,0.48630717
13791,-3.8850522,-1.0020845	,-3.477976,0.48879632
